item_id,item_name,item_category,item_price
1,Product_1,Clothing,190.4
2,Product_2,Home & Kitchen,475.6
3,Product_3,Toys,367.34
4,Product_4,Toys,301.34
5,Product_5,Books,82.23
6,Product_6,Toys,82.22
7,Product_7,Electronics,33.75
8,Product_8,Electronics,433.76
9,Product_9,Electronics,302.55
10,Product_10,Clothing,355.5
11,Product_11,Toys,15.19
12,Product_12,Health,485.11
13,Product_13,Electronics,417.06
14,Product_14,Books,110.11
15,Product_15,Clothing,95.0
16,Product_16,Books,95.79
17,Product_17,Toys,155.6
18,Product_18,Home & Kitchen,264.75
19,Product_19,Books,218.81
20,Product_20,Home & Kitchen,149.16
21,Product_21,Clothing,307.87
22,Product_22,Books,74.05
23,Product_23,Books,149.61
24,Product_24,Sports,186.35
25,Product_25,Clothing,230.75
26,Product_26,Clothing,393.66
27,Product_27,Electronics,103.84
28,Product_28,Toys,259.55
29,Product_29,Books,298.25
30,Product_30,Books,27.99
31,Product_31,Health,305.73
32,Product_32,Clothing,89.41
33,Product_33,Clothing,37.2
34,Product_34,Toys,474.7
35,Product_35,Clothing,482.99
36,Product_36,Home & Kitchen,405.16
37,Product_37,Home & Kitchen,155.78
38,Product_38,Sports,53.35
39,Product_39,Home & Kitchen,343.7
40,Product_40,Home & Kitchen,222.88
41,Product_41,Toys,65.41
42,Product_42,Books,250.11
43,Product_43,Home & Kitchen,22.02
44,Product_44,Sports,455.11
45,Product_45,Clothing,133.1
46,Product_46,Home & Kitchen,332.95
47,Product_47,Sports,159.3
48,Product_48,Toys,262.43
49,Product_49,Health,275.62
50,Product_50,Health,96.5
51,Product_51,Health,484.94
52,Product_52,Clothing,388.69
53,Product_53,Sports,470.05
54,Product_54,Home & Kitchen,447.94
55,Product_55,Books,300.96
56,Product_56,Clothing,461.33
57,Product_57,Clothing,48.8
58,Product_58,Health,102.01
59,Product_59,Books,27.39
60,Product_60,Health,166.04
61,Product_61,Clothing,197.4
62,Product_62,Home & Kitchen,139.32
63,Product_63,Health,415.23
64,Product_64,Health,181.59
65,Product_65,Health,144.06
66,Product_66,Clothing,273.63
67,Product_67,Home & Kitchen,74.76
68,Product_68,Books,402.09
69,Product_69,Electronics,41.9
70,Product_70,Books,493.51
71,Product_71,Home & Kitchen,387.26
72,Product_72,Toys,103.36
73,Product_73,Health,7.73
74,Product_74,Books,408.65
75,Product_75,Toys,354.89
76,Product_76,Toys,365.86
77,Product_77,Home & Kitchen,386.78
78,Product_78,Home & Kitchen,41.65
79,Product_79,Health,182.44
80,Product_80,Electronics,62.36
81,Product_81,Sports,432.24
82,Product_82,Clothing,313.53
83,Product_83,Books,168.79
84,Product_84,Home & Kitchen,36.46
85,Product_85,Books,158.94
86,Product_86,Sports,165.97
87,Product_87,Sports,366.16
88,Product_88,Health,320.59
89,Product_89,Toys,444.17
90,Product_90,Health,238.75
91,Product_91,Clothing,64.2
92,Product_92,Electronics,358.06
93,Product_93,Books,381.59
94,Product_94,Clothing,282.83
95,Product_95,Electronics,386.63
96,Product_96,Books,249.43
97,Product_97,Clothing,263.75
98,Product_98,Home & Kitchen,216.63
99,Product_99,Books,17.58
100,Product_100,Clothing,58.41
101,Product_101,Sports,20.56
102,Product_102,Electronics,320.02
103,Product_103,Clothing,160.61
104,Product_104,Home & Kitchen,256.74
105,Product_105,Health,454.25
106,Product_106,Books,128.4
107,Product_107,Books,208.14
108,Product_108,Books,379.0
109,Product_109,Home & Kitchen,118.26
110,Product_110,Electronics,43.11
111,Product_111,Books,148.43
112,Product_112,Electronics,84.8
113,Product_113,Clothing,465.2
114,Product_114,Sports,405.02
115,Product_115,Sports,318.53
116,Product_116,Electronics,436.37
117,Product_117,Electronics,402.82
118,Product_118,Sports,97.35
119,Product_119,Books,446.82
120,Product_120,Toys,271.97
121,Product_121,Toys,404.68
122,Product_122,Home & Kitchen,448.57
123,Product_123,Health,162.41
124,Product_124,Sports,59.48
125,Product_125,Sports,117.83
126,Product_126,Home & Kitchen,216.42
127,Product_127,Toys,409.92
128,Product_128,Clothing,431.06
129,Product_129,Books,8.44
130,Product_130,Books,257.82
131,Product_131,Clothing,211.62
132,Product_132,Clothing,114.94
133,Product_133,Toys,64.33
134,Product_134,Home & Kitchen,172.12
135,Product_135,Clothing,471.74
136,Product_136,Home & Kitchen,164.99
137,Product_137,Health,261.8
138,Product_138,Electronics,352.99
139,Product_139,Books,185.0
140,Product_140,Toys,486.03
141,Product_141,Books,481.41
142,Product_142,Toys,129.63
143,Product_143,Electronics,251.14
144,Product_144,Books,153.93
145,Product_145,Electronics,146.0
146,Product_146,Toys,23.26
147,Product_147,Clothing,306.73
148,Product_148,Health,253.83
149,Product_149,Books,30.48
150,Product_150,Electronics,142.93
151,Product_151,Sports,454.59
152,Product_152,Books,123.58
153,Product_153,Books,76.72
154,Product_154,Books,247.28
155,Product_155,Home & Kitchen,492.9
156,Product_156,Electronics,124.82
157,Product_157,Electronics,337.71
158,Product_158,Books,382.0
159,Product_159,Clothing,122.63
160,Product_160,Books,365.47
161,Product_161,Home & Kitchen,187.05
162,Product_162,Toys,317.99
163,Product_163,Home & Kitchen,318.6
164,Product_164,Clothing,270.21
165,Product_165,Books,49.69
166,Product_166,Electronics,418.47
167,Product_167,Health,163.79
168,Product_168,Sports,97.33
169,Product_169,Books,25.18
170,Product_170,Clothing,297.49
171,Product_171,Electronics,340.39
172,Product_172,Home & Kitchen,13.21
173,Product_173,Toys,258.49
174,Product_174,Toys,117.12
175,Product_175,Health,324.36
176,Product_176,Books,91.31
177,Product_177,Home & Kitchen,347.01
178,Product_178,Health,196.43
179,Product_179,Sports,468.68
180,Product_180,Sports,73.07
181,Product_181,Health,173.83
182,Product_182,Clothing,61.17
183,Product_183,Toys,462.72
184,Product_184,Home & Kitchen,439.28
185,Product_185,Books,132.68
186,Product_186,Electronics,331.69
187,Product_187,Books,409.52
188,Product_188,Books,279.82
189,Product_189,Home & Kitchen,267.18
190,Product_190,Toys,124.72
191,Product_191,Home & Kitchen,51.09
192,Product_192,Electronics,449.12
193,Product_193,Health,450.71
194,Product_194,Home & Kitchen,318.39
195,Product_195,Clothing,172.82
196,Product_196,Books,177.86
197,Product_197,Toys,364.35
198,Product_198,Sports,449.07
199,Product_199,Electronics,444.11
200,Product_200,Sports,391.04
201,Product_201,Books,322.81
202,Product_202,Home & Kitchen,46.65
203,Product_203,Sports,85.01
204,Product_204,Clothing,449.78
205,Product_205,Home & Kitchen,305.18
206,Product_206,Books,9.55
207,Product_207,Sports,55.23
208,Product_208,Health,333.43
209,Product_209,Electronics,7.51
210,Product_210,Sports,84.6
211,Product_211,Health,276.62
212,Product_212,Health,347.49
213,Product_213,Sports,327.72
214,Product_214,Toys,116.01
215,Product_215,Sports,357.53
216,Product_216,Books,122.44
217,Product_217,Health,166.07
218,Product_218,Electronics,374.51
219,Product_219,Books,326.57
220,Product_220,Clothing,425.37
221,Product_221,Home & Kitchen,330.52
222,Product_222,Sports,286.31
223,Product_223,Toys,51.37
224,Product_224,Electronics,187.02
225,Product_225,Toys,136.28
226,Product_226,Toys,125.77
227,Product_227,Toys,486.64
228,Product_228,Sports,199.58
229,Product_229,Electronics,446.56
230,Product_230,Electronics,317.41
231,Product_231,Health,398.43
232,Product_232,Toys,253.81
233,Product_233,Health,290.57
234,Product_234,Health,248.8
235,Product_235,Home & Kitchen,101.65
236,Product_236,Sports,362.61
237,Product_237,Sports,143.98
238,Product_238,Books,17.04
239,Product_239,Health,324.51
240,Product_240,Sports,92.67
241,Product_241,Toys,470.53
242,Product_242,Clothing,477.19
243,Product_243,Toys,457.86
244,Product_244,Electronics,188.23
245,Product_245,Sports,12.65
246,Product_246,Sports,464.52
247,Product_247,Books,216.95
248,Product_248,Health,483.49
249,Product_249,Clothing,481.99
250,Product_250,Sports,427.24
251,Product_251,Books,150.75
252,Product_252,Books,195.62
253,Product_253,Clothing,426.31
254,Product_254,Toys,161.88
255,Product_255,Toys,88.9
256,Product_256,Toys,280.62
257,Product_257,Home & Kitchen,468.4
258,Product_258,Health,349.53
259,Product_259,Health,287.18
260,Product_260,Toys,53.1
261,Product_261,Clothing,309.43
262,Product_262,Home & Kitchen,495.08
263,Product_263,Health,74.34
264,Product_264,Toys,261.57
265,Product_265,Home & Kitchen,439.3
266,Product_266,Clothing,371.68
267,Product_267,Toys,350.02
268,Product_268,Electronics,352.73
269,Product_269,Sports,182.95
270,Product_270,Clothing,150.33
271,Product_271,Books,405.63
272,Product_272,Books,406.01
273,Product_273,Clothing,434.2
274,Product_274,Books,457.05
275,Product_275,Health,258.11
276,Product_276,Clothing,253.25
277,Product_277,Electronics,400.16
278,Product_278,Clothing,326.73
279,Product_279,Toys,352.47
280,Product_280,Toys,398.92
281,Product_281,Home & Kitchen,445.55
282,Product_282,Books,172.31
283,Product_283,Sports,190.91
284,Product_284,Books,51.52
285,Product_285,Health,291.25
286,Product_286,Clothing,22.79
287,Product_287,Sports,235.47
288,Product_288,Sports,273.61
289,Product_289,Books,146.84
290,Product_290,Sports,297.46
291,Product_291,Sports,20.1
292,Product_292,Toys,23.49
293,Product_293,Electronics,412.19
294,Product_294,Clothing,183.29
295,Product_295,Books,67.89
296,Product_296,Toys,263.51
297,Product_297,Health,386.15
298,Product_298,Health,111.83
299,Product_299,Home & Kitchen,313.33
300,Product_300,Sports,47.25
301,Product_301,Sports,30.58
302,Product_302,Books,268.02
303,Product_303,Electronics,272.61
304,Product_304,Electronics,320.53
305,Product_305,Books,364.42
306,Product_306,Books,488.05
307,Product_307,Toys,260.57
308,Product_308,Health,164.86
309,Product_309,Books,398.62
310,Product_310,Health,139.06
311,Product_311,Home & Kitchen,222.29
312,Product_312,Health,43.84
313,Product_313,Toys,17.55
314,Product_314,Sports,481.51
315,Product_315,Sports,418.81
316,Product_316,Health,349.51
317,Product_317,Sports,207.43
318,Product_318,Sports,90.78
319,Product_319,Clothing,82.44
320,Product_320,Home & Kitchen,128.87
321,Product_321,Toys,276.87
322,Product_322,Toys,358.72
323,Product_323,Sports,331.8
324,Product_324,Electronics,143.57
325,Product_325,Toys,477.66
326,Product_326,Home & Kitchen,370.26
327,Product_327,Books,279.41
328,Product_328,Home & Kitchen,307.8
329,Product_329,Sports,212.7
330,Product_330,Sports,127.63
331,Product_331,Clothing,181.21
332,Product_332,Health,380.13
333,Product_333,Toys,12.12
334,Product_334,Health,62.46
335,Product_335,Health,27.77
336,Product_336,Toys,25.16
337,Product_337,Toys,428.45
338,Product_338,Sports,353.31
339,Product_339,Toys,239.72
340,Product_340,Electronics,53.43
341,Product_341,Electronics,248.35
342,Product_342,Books,239.37
343,Product_343,Toys,90.73
344,Product_344,Clothing,219.76
345,Product_345,Books,202.26
346,Product_346,Sports,309.85
347,Product_347,Toys,319.37
348,Product_348,Electronics,27.43
349,Product_349,Clothing,190.43
350,Product_350,Books,314.8
351,Product_351,Clothing,254.05
352,Product_352,Toys,428.96
353,Product_353,Home & Kitchen,331.05
354,Product_354,Clothing,85.65
355,Product_355,Clothing,39.93
356,Product_356,Sports,323.0
357,Product_357,Electronics,18.12
358,Product_358,Toys,294.96
359,Product_359,Clothing,470.41
360,Product_360,Toys,289.86
361,Product_361,Electronics,197.14
362,Product_362,Sports,323.43
363,Product_363,Toys,231.84
364,Product_364,Health,275.08
365,Product_365,Electronics,471.03
366,Product_366,Electronics,196.12
367,Product_367,Books,480.79
368,Product_368,Sports,453.15
369,Product_369,Sports,101.92
370,Product_370,Health,39.33
371,Product_371,Toys,54.89
372,Product_372,Home & Kitchen,14.02
373,Product_373,Health,51.75
374,Product_374,Books,343.09
375,Product_375,Sports,40.24
376,Product_376,Electronics,162.89
377,Product_377,Sports,423.21
378,Product_378,Health,16.52
379,Product_379,Home & Kitchen,408.16
380,Product_380,Clothing,144.52
381,Product_381,Clothing,63.49
382,Product_382,Sports,349.88
383,Product_383,Sports,316.33
384,Product_384,Books,439.35
385,Product_385,Sports,368.86
386,Product_386,Home & Kitchen,402.72
387,Product_387,Sports,144.61
388,Product_388,Toys,92.83
389,Product_389,Health,376.55
390,Product_390,Home & Kitchen,404.38
391,Product_391,Books,495.3
392,Product_392,Toys,209.25
393,Product_393,Toys,189.15
394,Product_394,Health,389.32
395,Product_395,Clothing,173.7
